pergunta,resposta
"Qual o objetivo da disciplina de Histologia?","Proporcionar a compreensão, em nível microscópico, dos diferentes tecidos e sistemas orgânicos, bem como a compreensão das inter-relações morfológicas, estrutural e histofisiológicas que se estabelecem no organismo humano/animal."
"Qual a função dos Ribossomos?","Síntese de proteínas."
"Qual a função das Mitocôndrias?","Produção de energia para todas as atividades celulares por meio da respiração celular."
"Diferencie Retículo Endoplasmático Liso (REL) e Retículo Endoplasmático Rugoso (RER).","REL: transporte e armazenamento de substâncias e síntese de lipídios. RER: transporte e armazenamento de substâncias e síntese de proteínas."
"O que são Lisossomos e qual sua função?","Corpúsculos esféricos com grande quantidade de enzimas que degradam moléculas grandes ou organelas envelhecidas. Responsáveis pela digestão intracelular."
"Diferencie digestão celular heterofágica de autofágica.","Heterofágica: digerir produtos englobados pela célula (fagocitose e pinocitose). Autofágica: digestão de organelas e estruturas da própria célula (autofagia) ou destruição completa da célula (autólise)."
"Quais as funções do Complexo de Golgi?","Origina o acrossomo, formação do lisossomo, armazenamento e secreção celular."
"Qual a função dos Centríolos?","Divisão celular e origem de cílios e flagelos."
"Quais os três tipos de cartilagem?","Hialina, Fibrosa e Elástica."
"Onde é encontrada a cartilagem hialina?","Fossas nasais, laringe, traqueia, brônquios, extremidades dos ossos longos (epífises), articulações. É a mais comum e forma o primeiro esqueleto do feto."
"Onde é encontrada a cartilagem fibrosa?","Discos intervertebrais, sínfise púbica, articulações da mandíbula, fêmur e joelho, pontos de inserção de tendões. É a mais resistente."
"Onde é encontrada a cartilagem elástica?","Orelha e epiglote. Possui muitas fibras elásticas."
"Quais as principais características do tecido cartilaginoso?","Não possui vasos sanguíneos, linfáticos e nervos (avascular). Nutrição, crescimento e regeneração são feitos pelo pericôndrio e líquido sinovial. Matriz extracelular não mineralizada."
"Quais as funções do tecido cartilaginoso?","Sustentação de tecidos moles, revestimento de superfícies articulares, absorção de choques mecânicos, facilitação de deslizamentos entre os ossos e molde para formação dos ossos na vida embrionária."
"Quais as células do tecido cartilaginoso e suas funções?","Condroblastos (células jovens que secretam a matriz extracelular) e Condrócitos (células adultas que mantêm a integridade da matriz, alojadas em lacunas)."
"Quais as principais funções do tecido ósseo?","Suporte para partes moles, proteção de órgãos vitais, aloja e protege a medula óssea, apoio aos músculos e serve de alavanca, depósito de cálcio, fosfato e outros íons."
"Quais os componentes da matriz extracelular do tecido ósseo?","70% parte inorgânica (principalmente cálcio e fosfato) e 30% parte orgânica (colágeno, proteoglicanos e glicoproteínas)."
"Diferencie Osteoblastos, Osteócitos e Osteoclastos.","Osteoblastos: sintetizam a parte orgânica da matriz óssea e mineralizam. Osteócitos: células adultas que mantêm a matriz. Osteoclastos: células gigantes que reabsorvem o tecido ósseo."
"O que são canalículos no tecido ósseo?","Locais por onde passam os prolongamentos dos osteócitos que se comunicam com os vasos sanguíneos (nutrição)."
"Diferencie Periósteo e Endósteo.","Periósteo: reveste a superfície externa dos ossos. Endósteo: reveste a superfície interna dos ossos."
"Explique a ossificação intramembranosa.","O tecido conjuntivo embrionário é substituído diretamente por tecido ósseo."
"Explique a ossificação endocondral.","A cartilagem hialina embrionária é substituída por tecido ósseo, exceto na superfície articular e na placa epifisária."
